cell_type,seed,cap,fold,eval_cohort,n_train,n_eval,alpha,l1_ratio,n_nonzero_genes,R,MAE,R_ci_lo,R_ci_hi
NK,0,1,loco_onek1k,onek1k,195,981,5.0000,0.5000,97,0.0353,21.3569,-0.0230,0.0965
NK,0,1,loco_onek1k,aida,195,306,5.0000,0.5000,97,-0.1751,12.3378,-0.2857,-0.0638
NK,0,1,loco_terekhova,terekhova,1010,166,2.0000,0.3000,702,-0.0475,15.3480,-0.1964,0.0977
NK,0,1,loco_terekhova,aida,1010,306,2.0000,0.3000,702,0.0593,17.7396,-0.0516,0.1825
NK,0,5,loco_onek1k,onek1k,195,981,1.0000,0.3000,805,0.0598,19.9649,-0.0022,0.1186
NK,0,5,loco_onek1k,aida,195,306,1.0000,0.3000,805,0.0793,12.3109,-0.0345,0.1881
NK,0,5,loco_terekhova,terekhova,1010,166,2.0000,0.5000,200,0.1245,14.3227,-0.0175,0.2689
NK,0,5,loco_terekhova,aida,1010,306,2.0000,0.5000,200,0.1294,15.9401,0.0321,0.2331
NK,0,10,loco_onek1k,onek1k,195,981,5.0000,0.3000,327,0.0990,21.7389,0.0362,0.1593
NK,0,10,loco_onek1k,aida,195,306,5.0000,0.3000,327,0.0946,13.2285,-0.0212,0.2002
NK,0,10,loco_terekhova,terekhova,1010,166,2.0000,0.5000,192,0.1791,14.6240,0.0273,0.3237
NK,0,10,loco_terekhova,aida,1010,306,2.0000,0.5000,192,0.0350,15.0141,-0.0761,0.1476
NK,0,20,loco_onek1k,onek1k,195,981,0.1000,0.3000,911,0.2514,18.7452,0.1941,0.3066
NK,0,20,loco_onek1k,aida,195,306,0.1000,0.3000,911,0.0250,11.6546,-0.0890,0.1335
NK,0,20,loco_terekhova,terekhova,1010,166,1.0000,0.9000,161,0.3518,12.7898,0.2070,0.4791
NK,0,20,loco_terekhova,aida,1010,306,1.0000,0.9000,161,0.1682,15.4724,0.0497,0.2841
NK,0,50,loco_onek1k,onek1k,195,981,2.0000,0.5000,305,0.2944,19.2438,0.2417,0.3487
NK,0,50,loco_onek1k,aida,195,306,2.0000,0.5000,305,0.2439,12.4446,0.1331,0.3410
NK,0,50,loco_terekhova,terekhova,1010,166,1.0000,0.5000,537,0.3446,13.4160,0.1926,0.4639
NK,0,50,loco_terekhova,aida,1010,306,1.0000,0.5000,537,0.2591,11.1243,0.1462,0.3617
NK,0,100,loco_onek1k,onek1k,195,981,2.0000,0.9000,70,0.3661,19.0756,0.3081,0.4203
NK,0,100,loco_onek1k,aida,195,306,2.0000,0.9000,70,0.2363,12.2437,0.1422,0.3365
NK,0,100,loco_terekhova,terekhova,1010,166,1.0000,0.7000,228,0.4216,12.9512,0.2830,0.5519
NK,0,100,loco_terekhova,aida,1010,306,1.0000,0.7000,228,0.2444,16.0169,0.1290,0.3510
NK,0,500,loco_onek1k,onek1k,195,981,0.0010,0.5000,770,0.4226,9.5094,0.3609,0.4721
NK,0,500,loco_onek1k,aida,195,306,0.0010,0.5000,770,0.2687,10.5576,0.1650,0.3737
NK,0,500,loco_terekhova,terekhova,1010,166,1.0000,0.5000,432,0.4933,11.2849,0.3686,0.6026
NK,0,500,loco_terekhova,aida,1010,306,1.0000,0.5000,432,0.3338,10.2367,0.2207,0.4369
NK,0,1000,loco_onek1k,onek1k,195,981,0.0010,0.5000,715,0.3815,10.7141,0.3267,0.4338
NK,0,1000,loco_onek1k,aida,195,306,0.0010,0.5000,715,0.2658,12.5714,0.1606,0.3628
NK,0,1000,loco_terekhova,terekhova,1010,166,1.0000,0.5000,434,0.5025,11.4863,0.3778,0.6207
NK,0,1000,loco_terekhova,aida,1010,306,1.0000,0.5000,434,0.3325,9.8843,0.2197,0.4362
NK,1,1,loco_onek1k,onek1k,195,981,5.0000,0.3000,364,-0.0116,20.7337,-0.0721,0.0415
NK,1,1,loco_onek1k,aida,195,306,5.0000,0.3000,364,0.0119,11.7070,-0.0926,0.1290
NK,1,1,loco_terekhova,terekhova,1010,166,2.0000,0.7000,43,-0.0466,17.0621,-0.1886,0.1089
NK,1,1,loco_terekhova,aida,1010,306,2.0000,0.7000,43,0.0798,17.1213,-0.0239,0.1922
NK,1,5,loco_onek1k,onek1k,195,981,2.0000,0.3000,687,0.0100,20.7821,-0.0543,0.0648
NK,1,5,loco_onek1k,aida,195,306,2.0000,0.3000,687,0.1653,12.0224,0.0529,0.2748
NK,1,5,loco_terekhova,terekhova,1010,166,2.0000,0.5000,208,0.1941,15.0115,0.0628,0.3365
NK,1,5,loco_terekhova,aida,1010,306,2.0000,0.5000,208,0.0802,15.3464,-0.0228,0.1967
NK,1,10,loco_onek1k,onek1k,195,981,5.0000,0.5000,95,0.1309,21.4864,0.0721,0.1933
NK,1,10,loco_onek1k,aida,195,306,5.0000,0.5000,95,0.2780,12.0757,0.1714,0.3776
NK,1,10,loco_terekhova,terekhova,1010,166,2.0000,0.3000,623,0.1862,14.2011,0.0329,0.3452
NK,1,10,loco_terekhova,aida,1010,306,2.0000,0.3000,623,0.0385,14.4484,-0.0719,0.1566
NK,1,20,loco_onek1k,onek1k,195,981,0.0100,0.3000,948,0.1551,21.3632,0.1009,0.2110
NK,1,20,loco_onek1k,aida,195,306,0.0100,0.3000,948,0.2288,15.6549,0.1186,0.3485
NK,1,20,loco_terekhova,terekhova,1010,166,1.0000,0.9000,151,0.2773,13.5807,0.1383,0.4106
NK,1,20,loco_terekhova,aida,1010,306,1.0000,0.9000,151,0.1618,16.2877,0.0662,0.2624
NK,1,50,loco_onek1k,onek1k,195,981,1.0000,0.3000,766,0.3165,15.1964,0.2617,0.3662
NK,1,50,loco_onek1k,aida,195,306,1.0000,0.3000,766,0.2284,12.7150,0.1394,0.3326
NK,1,50,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1076,0.3765,11.5133,0.2363,0.5088
NK,1,50,loco_terekhova,aida,1010,306,1.0000,0.3000,1076,0.1462,12.5186,0.0514,0.2570
NK,1,100,loco_onek1k,onek1k,195,981,0.5000,0.7000,293,0.3680,20.2825,0.3092,0.4188
NK,1,100,loco_onek1k,aida,195,306,0.5000,0.7000,293,0.3025,12.7601,0.2063,0.4098
NK,1,100,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1007,0.3880,13.2741,0.2352,0.5401
NK,1,100,loco_terekhova,aida,1010,306,1.0000,0.3000,1007,0.2861,15.0143,0.1965,0.3838
NK,1,500,loco_onek1k,onek1k,195,981,0.0010,0.3000,1188,0.4022,10.1336,0.3472,0.4531
NK,1,500,loco_onek1k,aida,195,306,0.0010,0.3000,1188,0.2797,8.6781,0.1710,0.3824
NK,1,500,loco_terekhova,terekhova,1010,166,1.0000,0.3000,935,0.4828,11.5585,0.3347,0.6111
NK,1,500,loco_terekhova,aida,1010,306,1.0000,0.3000,935,0.3632,10.2930,0.2773,0.4619
NK,1,1000,loco_onek1k,onek1k,195,981,0.0010,0.5000,738,0.4405,10.7274,0.3872,0.4917
NK,1,1000,loco_onek1k,aida,195,306,0.0010,0.5000,738,0.3393,9.1212,0.2291,0.4322
NK,1,1000,loco_terekhova,terekhova,1010,166,1.0000,0.3000,935,0.4994,11.3706,0.3509,0.6285
NK,1,1000,loco_terekhova,aida,1010,306,1.0000,0.3000,935,0.3627,10.4246,0.2749,0.4606
NK,2,1,loco_onek1k,onek1k,195,981,5.0000,0.9000,0,0.0000,19.5487,,
NK,2,1,loco_onek1k,aida,195,306,5.0000,0.9000,0,0.0000,11.5487,,
NK,2,1,loco_terekhova,terekhova,1010,166,2.0000,0.3000,696,-0.0141,16.0450,-0.1652,0.1279
NK,2,1,loco_terekhova,aida,1010,306,2.0000,0.3000,696,0.0551,14.8383,-0.0509,0.1787
NK,2,5,loco_onek1k,onek1k,195,981,2.0000,0.5000,328,0.0227,23.0903,-0.0393,0.0885
NK,2,5,loco_onek1k,aida,195,306,2.0000,0.5000,328,0.1155,12.4140,-0.0039,0.2209
NK,2,5,loco_terekhova,terekhova,1010,166,2.0000,0.3000,679,0.0463,15.1655,-0.0970,0.1911
NK,2,5,loco_terekhova,aida,1010,306,2.0000,0.3000,679,0.0327,15.9243,-0.0696,0.1431
NK,2,10,loco_onek1k,onek1k,195,981,5.0000,0.9000,0,0.0000,19.5436,,
NK,2,10,loco_onek1k,aida,195,306,5.0000,0.9000,0,0.0000,11.5436,,
NK,2,10,loco_terekhova,terekhova,1010,166,2.0000,0.5000,214,0.2866,14.4267,0.1509,0.4130
NK,2,10,loco_terekhova,aida,1010,306,2.0000,0.5000,214,0.0294,14.9085,-0.0773,0.1471
NK,2,20,loco_onek1k,onek1k,195,981,0.5000,0.7000,309,0.2216,15.1716,0.1646,0.2782
NK,2,20,loco_onek1k,aida,195,306,0.5000,0.7000,309,0.1555,15.9058,0.0371,0.2685
NK,2,20,loco_terekhova,terekhova,1010,166,1.0000,0.9000,157,0.3628,12.3149,0.2209,0.5009
NK,2,20,loco_terekhova,aida,1010,306,1.0000,0.9000,157,0.1820,13.6357,0.0784,0.2926
NK,2,50,loco_onek1k,onek1k,195,981,2.0000,0.9000,70,0.2968,17.5833,0.2328,0.3473
NK,2,50,loco_onek1k,aida,195,306,2.0000,0.9000,70,0.2593,12.7269,0.1602,0.3654
NK,2,50,loco_terekhova,terekhova,1010,166,1.0000,0.9000,136,0.4619,12.1102,0.3350,0.5838
NK,2,50,loco_terekhova,aida,1010,306,1.0000,0.9000,136,0.2173,14.4167,0.1177,0.3178
NK,2,100,loco_onek1k,onek1k,195,981,2.0000,0.9000,70,0.4104,16.9655,0.3613,0.4578
NK,2,100,loco_onek1k,aida,195,306,2.0000,0.9000,70,0.3404,17.1314,0.2427,0.4320
NK,2,100,loco_terekhova,terekhova,1010,166,1.0000,0.9000,125,0.4534,12.1310,0.3181,0.5644
NK,2,100,loco_terekhova,aida,1010,306,1.0000,0.9000,125,0.2554,15.2442,0.1558,0.3599
NK,2,500,loco_onek1k,onek1k,195,981,0.0010,0.7000,482,0.3925,10.9006,0.3450,0.4459
NK,2,500,loco_onek1k,aida,195,306,0.0010,0.7000,482,0.3089,10.1966,0.2054,0.4150
NK,2,500,loco_terekhova,terekhova,1010,166,1.0000,0.3000,934,0.4746,11.4119,0.3197,0.6022
NK,2,500,loco_terekhova,aida,1010,306,1.0000,0.3000,934,0.3641,10.1017,0.2681,0.4544
NK,2,1000,loco_onek1k,onek1k,195,981,0.0010,0.5000,721,0.4248,9.4137,0.3770,0.4766
NK,2,1000,loco_onek1k,aida,195,306,0.0010,0.5000,721,0.3212,10.3924,0.2260,0.4229
NK,2,1000,loco_terekhova,terekhova,1010,166,1.0000,0.3000,928,0.5017,11.1618,0.3456,0.6250
NK,2,1000,loco_terekhova,aida,1010,306,1.0000,0.3000,928,0.3656,10.4051,0.2705,0.4545
B,0,1,loco_onek1k,onek1k,195,981,5.0000,0.9000,0,0.0000,19.5385,,
B,0,1,loco_onek1k,aida,195,307,5.0000,0.9000,0,0.0000,11.5385,,
B,0,1,loco_terekhova,terekhova,1010,166,2.0000,0.9000,9,-0.0107,17.1604,-0.1554,0.1363
B,0,1,loco_terekhova,aida,1010,307,2.0000,0.9000,9,-0.0228,22.4953,-0.1777,0.0944
B,0,5,loco_onek1k,onek1k,195,981,5.0000,0.7000,17,-0.0117,20.3606,-0.0797,0.0575
B,0,5,loco_onek1k,aida,195,307,5.0000,0.7000,17,-0.1188,11.7702,-0.2206,-0.0107
B,0,5,loco_terekhova,terekhova,1010,166,2.0000,0.7000,50,0.0229,15.7799,-0.1053,0.1841
B,0,5,loco_terekhova,aida,1010,307,2.0000,0.7000,50,0.0839,18.4876,-0.0207,0.1983
B,0,10,loco_onek1k,onek1k,195,981,1.0000,0.3000,811,0.0350,22.8201,-0.0252,0.1002
B,0,10,loco_onek1k,aida,195,307,1.0000,0.3000,811,0.0380,13.7589,-0.0595,0.1441
B,0,10,loco_terekhova,terekhova,1010,166,2.0000,0.5000,209,0.0528,15.8882,-0.0936,0.2059
B,0,10,loco_terekhova,aida,1010,307,2.0000,0.5000,209,0.0721,18.8197,-0.0243,0.1705
B,0,20,loco_onek1k,onek1k,195,981,2.0000,0.3000,653,-0.0105,16.5341,-0.0794,0.0549
B,0,20,loco_onek1k,aida,195,307,2.0000,0.3000,653,0.1639,13.0108,0.0466,0.2652
B,0,20,loco_terekhova,terekhova,1010,166,2.0000,0.3000,633,0.0238,16.0740,-0.1359,0.1878
B,0,20,loco_terekhova,aida,1010,307,2.0000,0.3000,633,-0.0391,15.4946,-0.1527,0.0772
B,0,50,loco_onek1k,onek1k,195,981,2.0000,0.3000,696,0.1249,15.2222,0.0687,0.1849
B,0,50,loco_onek1k,aida,195,307,2.0000,0.3000,696,0.0743,11.4069,-0.0436,0.1718
B,0,50,loco_terekhova,terekhova,1010,166,1.0000,0.9000,163,0.1363,15.8003,-0.0076,0.2878
B,0,50,loco_terekhova,aida,1010,307,1.0000,0.9000,163,0.1106,17.2334,-0.0010,0.2225
B,0,100,loco_onek1k,onek1k,195,981,1.0000,0.3000,822,0.1358,15.7000,0.0834,0.1971
B,0,100,loco_onek1k,aida,195,307,1.0000,0.3000,822,0.1263,11.7691,0.0184,0.2307
B,0,100,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1010,0.3210,15.0709,0.1948,0.4351
B,0,100,loco_terekhova,aida,1010,307,1.0000,0.3000,1010,0.1683,16.5143,0.0556,0.2783
B,0,500,loco_onek1k,onek1k,195,981,2.0000,0.3000,586,0.2695,17.4562,0.2146,0.3231
B,0,500,loco_onek1k,aida,195,307,2.0000,0.3000,586,0.2227,9.1359,0.1196,0.3290
B,0,500,loco_terekhova,terekhova,1010,166,0.5000,0.9000,337,0.3537,19.9455,0.2299,0.4627
B,0,500,loco_terekhova,aida,1010,307,0.5000,0.9000,337,0.1818,22.6812,0.0763,0.2926
B,0,1000,loco_onek1k,onek1k,195,981,0.0010,0.3000,1302,0.2943,10.5057,0.2410,0.3454
B,0,1000,loco_onek1k,aida,195,307,0.0010,0.3000,1302,0.3254,10.5769,0.2246,0.4186
B,0,1000,loco_terekhova,terekhova,1010,166,0.5000,0.9000,332,0.3607,19.6400,0.2367,0.4704
B,0,1000,loco_terekhova,aida,1010,307,0.5000,0.9000,332,0.1906,22.9803,0.0829,0.3009
B,1,1,loco_onek1k,onek1k,195,981,5.0000,0.5000,89,-0.0511,20.3900,-0.1121,0.0067
B,1,1,loco_onek1k,aida,195,307,5.0000,0.5000,89,0.0602,11.9466,-0.0490,0.1799
B,1,1,loco_terekhova,terekhova,1010,166,2.0000,0.7000,40,0.0380,16.1826,-0.1102,0.1691
B,1,1,loco_terekhova,aida,1010,307,2.0000,0.7000,40,0.0537,20.5329,-0.0567,0.1510
B,1,5,loco_onek1k,onek1k,195,981,0.1000,0.3000,885,-0.0315,17.6989,-0.0926,0.0277
B,1,5,loco_onek1k,aida,195,307,0.1000,0.3000,885,0.0417,11.4244,-0.0775,0.1517
B,1,5,loco_terekhova,terekhova,1010,166,2.0000,0.3000,660,0.0570,15.3237,-0.0944,0.2295
B,1,5,loco_terekhova,aida,1010,307,2.0000,0.3000,660,0.0065,13.9178,-0.0955,0.1048
B,1,10,loco_onek1k,onek1k,195,981,1.0000,0.3000,797,0.0678,20.5433,0.0074,0.1299
B,1,10,loco_onek1k,aida,195,307,1.0000,0.3000,797,0.1145,11.3876,0.0044,0.2222
B,1,10,loco_terekhova,terekhova,1010,166,2.0000,0.3000,637,0.0651,16.3278,-0.0892,0.2230
B,1,10,loco_terekhova,aida,1010,307,2.0000,0.3000,637,-0.0679,15.1667,-0.1696,0.0438
B,1,20,loco_onek1k,onek1k,195,981,5.0000,0.3000,350,0.0619,20.2374,0.0001,0.1220
B,1,20,loco_onek1k,aida,195,307,5.0000,0.3000,350,-0.0572,12.7913,-0.1685,0.0484
B,1,20,loco_terekhova,terekhova,1010,166,2.0000,0.3000,636,0.1606,15.4747,0.0018,0.3087
B,1,20,loco_terekhova,aida,1010,307,2.0000,0.3000,636,0.0775,15.2621,-0.0243,0.1747
B,1,50,loco_onek1k,onek1k,195,981,1.0000,0.3000,829,0.1139,22.4409,0.0516,0.1815
B,1,50,loco_onek1k,aida,195,307,1.0000,0.3000,829,-0.0333,13.3067,-0.1459,0.0749
B,1,50,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1139,0.2995,15.5517,0.1480,0.4127
B,1,50,loco_terekhova,aida,1010,307,1.0000,0.3000,1139,0.0856,16.3602,-0.0168,0.1790
B,1,100,loco_onek1k,onek1k,195,981,1.0000,0.3000,798,0.2736,13.7091,0.2186,0.3232
B,1,100,loco_onek1k,aida,195,307,1.0000,0.3000,798,0.0959,9.8337,-0.0060,0.2036
B,1,100,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1032,0.2581,19.7017,0.1325,0.3796
B,1,100,loco_terekhova,aida,1010,307,1.0000,0.3000,1032,0.0980,14.3219,-0.0056,0.2175
B,1,500,loco_onek1k,onek1k,195,981,0.0010,0.3000,1291,0.2911,11.8455,0.2449,0.3438
B,1,500,loco_onek1k,aida,195,307,0.0010,0.3000,1291,0.2595,10.1632,0.1540,0.3516
B,1,500,loco_terekhova,terekhova,1010,166,1.0000,0.3000,989,0.3494,17.0990,0.2362,0.4621
B,1,500,loco_terekhova,aida,1010,307,1.0000,0.3000,989,0.1514,16.3747,0.0447,0.2669
B,1,1000,loco_onek1k,onek1k,195,981,0.0010,0.3000,1294,0.2878,10.3149,0.2374,0.3383
B,1,1000,loco_onek1k,aida,195,307,0.0010,0.3000,1294,0.2977,9.9403,0.1943,0.3842
B,1,1000,loco_terekhova,terekhova,1010,166,1.0000,0.3000,989,0.3579,17.5514,0.2499,0.4729
B,1,1000,loco_terekhova,aida,1010,307,1.0000,0.3000,989,0.1570,17.0202,0.0508,0.2727
B,2,1,loco_onek1k,onek1k,195,981,5.0000,0.3000,376,-0.0053,20.3691,-0.0648,0.0574
B,2,1,loco_onek1k,aida,195,307,5.0000,0.3000,376,-0.1459,11.5656,-0.2565,-0.0242
B,2,1,loco_terekhova,terekhova,1010,166,2.0000,0.7000,43,0.0298,15.7493,-0.1240,0.1978
B,2,1,loco_terekhova,aida,1010,307,2.0000,0.7000,43,0.0988,21.4437,-0.0154,0.2075
B,2,5,loco_onek1k,onek1k,195,981,5.0000,0.9000,0,0.0000,19.5333,,
B,2,5,loco_onek1k,aida,195,307,5.0000,0.9000,0,0.0000,11.5333,,
B,2,5,loco_terekhova,terekhova,1010,166,2.0000,0.3000,671,0.0300,16.1926,-0.1070,0.1577
B,2,5,loco_terekhova,aida,1010,307,2.0000,0.3000,671,0.0136,16.7937,-0.0935,0.1011
B,2,10,loco_onek1k,onek1k,195,981,5.0000,0.9000,1,0.0181,19.6091,-0.0510,0.0775
B,2,10,loco_onek1k,aida,195,307,5.0000,0.9000,1,0.0743,11.6091,-0.0326,0.1830
B,2,10,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1184,0.1783,14.1513,0.0149,0.3358
B,2,10,loco_terekhova,aida,1010,307,1.0000,0.3000,1184,0.0544,15.8529,-0.0604,0.1685
B,2,20,loco_onek1k,onek1k,195,981,5.0000,0.9000,1,0.0289,19.6225,-0.0328,0.0895
B,2,20,loco_onek1k,aida,195,307,5.0000,0.9000,1,-0.0679,11.6490,-0.1671,0.0276
B,2,20,loco_terekhova,terekhova,1010,166,2.0000,0.5000,203,0.0662,15.7865,-0.0955,0.2320
B,2,20,loco_terekhova,aida,1010,307,2.0000,0.5000,203,0.0026,16.2918,-0.1069,0.1139
B,2,50,loco_onek1k,onek1k,195,981,0.0100,0.3000,983,0.1521,17.2947,0.0856,0.2240
B,2,50,loco_onek1k,aida,195,307,0.0100,0.3000,983,0.0889,10.6078,-0.0241,0.2047
B,2,50,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1119,0.3326,13.9000,0.1885,0.4548
B,2,50,loco_terekhova,aida,1010,307,1.0000,0.3000,1119,0.1045,14.2563,-0.0024,0.2066
B,2,100,loco_onek1k,onek1k,195,981,0.0100,0.3000,974,0.2198,16.8675,0.1630,0.2755
B,2,100,loco_onek1k,aida,195,307,0.0100,0.3000,974,0.0469,15.2196,-0.0705,0.1654
B,2,100,loco_terekhova,terekhova,1010,166,1.0000,0.3000,1050,0.3259,16.7636,0.2063,0.4468
B,2,100,loco_terekhova,aida,1010,307,1.0000,0.3000,1050,0.0773,16.8530,-0.0242,0.1877
B,2,500,loco_onek1k,onek1k,195,981,1.0000,0.9000,124,0.2894,16.2177,0.2347,0.3388
B,2,500,loco_onek1k,aida,195,307,1.0000,0.9000,124,0.0734,11.3000,-0.0260,0.1738
B,2,500,loco_terekhova,terekhova,1010,166,0.5000,0.9000,329,0.3546,19.8918,0.2176,0.4794
B,2,500,loco_terekhova,aida,1010,307,0.5000,0.9000,329,0.1869,22.3966,0.0780,0.2806
B,2,1000,loco_onek1k,onek1k,195,981,0.0010,0.3000,1289,0.2963,10.4970,0.2417,0.3536
B,2,1000,loco_onek1k,aida,195,307,0.0010,0.3000,1289,0.2993,9.4890,0.2003,0.3922
B,2,1000,loco_terekhova,terekhova,1010,166,0.5000,0.9000,334,0.3594,19.5742,0.2236,0.4802
B,2,1000,loco_terekhova,aida,1010,307,0.5000,0.9000,334,0.1899,23.0135,0.0822,0.2834
