fold,eval_cohort,cell_type,subset,layers,alpha,n_train_donors,n_eval_donors,feature_dim,pearson_r,pearson_p,mae_y
loco_onek1k,onek1k,CD4+ T,L1,1,0.1,190,981,768,0.499669,0,27.8624
loco_onek1k,aida,CD4+ T,L1,1,0.1,190,293,768,0.466596,3.02234e-17,9.21524
loco_onek1k,onek1k,CD4+ T,L12,12,1,190,981,768,0.56027,0,16.5173
loco_onek1k,aida,CD4+ T,L12,12,1,190,293,768,0.527458,2.19918e-22,11.7569
loco_onek1k,onek1k,CD4+ T,L1+L12,"1,12",1,190,981,1536,0.570848,0,15.9633
loco_onek1k,aida,CD4+ T,L1+L12,"1,12",1,190,293,1536,0.534991,4.28229e-23,11.1276
loco_onek1k,onek1k,CD4+ T,L1+L9+L12,"1,9,12",1,190,981,2304,0.569084,0,16.44
loco_onek1k,aida,CD4+ T,L1+L9+L12,"1,9,12",1,190,293,2304,0.542953,7.26072e-24,11.3639
loco_onek1k,onek1k,CD4+ T,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",1,190,981,9984,0.532415,0,34.2262
loco_onek1k,aida,CD4+ T,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",1,190,293,9984,0.52187,7.21223e-22,8.9966
loco_onek1k,onek1k,CD4+ T,early_block_L1+L2+L3,"1,2,3",1,190,981,2304,0.514009,0,30.742
loco_onek1k,aida,CD4+ T,early_block_L1+L2+L3,"1,2,3",1,190,293,2304,0.46562,3.58674e-17,9.71368
loco_onek1k,onek1k,CD4+ T,mid_block_L5+L6+L7,"5,6,7",0.1,190,981,2304,0.485623,0,48.5561
loco_onek1k,aida,CD4+ T,mid_block_L5+L6+L7,"5,6,7",0.1,190,293,2304,0.392295,3.22416e-12,9.59859
loco_onek1k,onek1k,CD4+ T,late_block_L10+L11+L12,"10,11,12",1,190,981,2304,0.554856,0,16.3908
loco_onek1k,aida,CD4+ T,late_block_L10+L11+L12,"10,11,12",1,190,293,2304,0.540115,1.37418e-23,11.6478
loco_terekhova,terekhova,CD4+ T,L1,1,0.1,1005,166,768,0.616065,1.0064e-18,8.82478
loco_terekhova,terekhova,CD4+ T,L12,12,1,1005,166,768,0.576414,4.42771e-16,24.0269
loco_terekhova,terekhova,CD4+ T,L1+L12,"1,12",1,1005,166,1536,0.619147,6.04632e-19,18.0685
loco_terekhova,terekhova,CD4+ T,L1+L9+L12,"1,9,12",1,1005,166,2304,0.62106,4.39501e-19,16.9727
loco_terekhova,terekhova,CD4+ T,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",1,1005,166,9984,0.615285,1.14405e-18,8.89427
loco_terekhova,terekhova,CD4+ T,early_block_L1+L2+L3,"1,2,3",1,1005,166,2304,0.625696,2.00972e-19,10.0844
loco_terekhova,terekhova,CD4+ T,mid_block_L5+L6+L7,"5,6,7",1,1005,166,2304,0.602251,9.23514e-18,13.8539
loco_terekhova,terekhova,CD4+ T,late_block_L10+L11+L12,"10,11,12",1,1005,166,2304,0.57832,3.36676e-16,22.7422
loco_onek1k,onek1k,B,L1,1,1,195,981,768,-0.0850867,0.00766609,19.8725
loco_onek1k,aida,B,L1,1,1,195,307,768,0.049481,0.387604,24.1431
loco_onek1k,onek1k,B,L12,12,1,195,981,768,-0.0126323,0.692721,21.6908
loco_onek1k,aida,B,L12,12,1,195,307,768,0.09859,0.0846007,18.6935
loco_onek1k,onek1k,B,L1+L12,"1,12",1,195,981,1536,-0.0409321,0.200218,22.0614
loco_onek1k,aida,B,L1+L12,"1,12",1,195,307,1536,0.102084,0.0740939,21.8855
loco_onek1k,onek1k,B,L1+L9+L12,"1,9,12",1,195,981,2304,-0.0436617,0.171804,23.2693
loco_onek1k,aida,B,L1+L9+L12,"1,9,12",1,195,307,2304,0.10193,0.0745338,22.1059
loco_onek1k,onek1k,B,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",10,195,981,9984,-0.0126846,0.691513,24.803
loco_onek1k,aida,B,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",10,195,307,9984,0.0491646,0.390651,21.0075
loco_onek1k,onek1k,B,early_block_L1+L2+L3,"1,2,3",10,195,981,2304,-0.0538372,0.0919302,24.4719
loco_onek1k,aida,B,early_block_L1+L2+L3,"1,2,3",10,195,307,2304,-0.0445124,0.437086,19.6313
loco_onek1k,onek1k,B,mid_block_L5+L6+L7,"5,6,7",10,195,981,2304,0.0334782,0.294858,24.0826
loco_onek1k,aida,B,mid_block_L5+L6+L7,"5,6,7",10,195,307,2304,-0.0519147,0.364661,16.7671
loco_onek1k,onek1k,B,late_block_L10+L11+L12,"10,11,12",1,195,981,2304,-0.0411071,0.198298,25.5722
loco_onek1k,aida,B,late_block_L10+L11+L12,"10,11,12",1,195,307,2304,0.102132,0.0739568,19.2383
loco_terekhova,terekhova,B,L1,1,1,1010,166,768,0.114357,0.142358,14.6513
loco_terekhova,terekhova,B,L12,12,1,1010,166,768,0.10244,0.189073,14.0191
loco_terekhova,terekhova,B,L1+L12,"1,12",1,1010,166,1536,0.111248,0.153598,14.4754
loco_terekhova,terekhova,B,L1+L9+L12,"1,9,12",1,1010,166,2304,0.132523,0.0887465,14.0489
loco_terekhova,terekhova,B,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",10,1010,166,9984,0.0881451,0.258777,15.722
loco_terekhova,terekhova,B,early_block_L1+L2+L3,"1,2,3",10,1010,166,2304,0.0793593,0.309462,15.1777
loco_terekhova,terekhova,B,mid_block_L5+L6+L7,"5,6,7",1,1010,166,2304,0.0988737,0.20502,14.4036
loco_terekhova,terekhova,B,late_block_L10+L11+L12,"10,11,12",1,1010,166,2304,0.130463,0.0938635,14.0943
loco_onek1k,onek1k,NK,L1,1,0.1,195,981,768,0.163406,2.65918e-07,11.9215
loco_onek1k,aida,NK,L1,1,0.1,195,306,768,0.149483,0.00882094,16.5069
loco_onek1k,onek1k,NK,L12,12,1,195,981,768,0.260169,1.21784e-16,14.1272
loco_onek1k,aida,NK,L12,12,1,195,306,768,0.0472254,0.410402,14.8806
loco_onek1k,onek1k,NK,L1+L12,"1,12",0.01,195,981,1536,0.295684,3.0311e-21,14.4999
loco_onek1k,aida,NK,L1+L12,"1,12",0.01,195,306,1536,-0.0491556,0.391516,31.6283
loco_onek1k,onek1k,NK,L1+L9+L12,"1,9,12",0.01,195,981,2304,0.297465,1.70949e-21,18.5336
loco_onek1k,aida,NK,L1+L9+L12,"1,9,12",0.01,195,306,2304,-0.0280513,0.624993,23.2334
loco_onek1k,onek1k,NK,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.1,195,981,9984,0.283817,1.24445e-19,72.1889
loco_onek1k,aida,NK,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.1,195,306,9984,0.12181,0.0331702,14.4005
loco_onek1k,onek1k,NK,early_block_L1+L2+L3,"1,2,3",1,195,981,2304,0.197191,4.67622e-10,24.9745
loco_onek1k,aida,NK,early_block_L1+L2+L3,"1,2,3",1,195,306,2304,0.095512,0.0953648,13.7781
loco_onek1k,onek1k,NK,mid_block_L5+L6+L7,"5,6,7",0.1,195,981,2304,0.279867,4.12176e-19,70.0888
loco_onek1k,aida,NK,mid_block_L5+L6+L7,"5,6,7",0.1,195,306,2304,0.177509,0.00182567,13.1878
loco_onek1k,onek1k,NK,late_block_L10+L11+L12,"10,11,12",1,195,981,2304,0.258896,1.73081e-16,15.378
loco_onek1k,aida,NK,late_block_L10+L11+L12,"10,11,12",1,195,306,2304,0.0163531,0.775712,15.3466
loco_terekhova,terekhova,NK,L1,1,1,1010,166,768,0.228532,0.00306171,14.6265
loco_terekhova,terekhova,NK,L12,12,1,1010,166,768,0.198876,0.0102084,15.1889
loco_terekhova,terekhova,NK,L1+L12,"1,12",1,1010,166,1536,0.22799,0.00313426,14.2064
loco_terekhova,terekhova,NK,L1+L9+L12,"1,9,12",1,1010,166,2304,0.225943,0.0034222,13.6372
loco_terekhova,terekhova,NK,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",10,1010,166,9984,0.226822,0.00329572,13.8553
loco_terekhova,terekhova,NK,early_block_L1+L2+L3,"1,2,3",1,1010,166,2304,0.238948,0.00193252,13.901
loco_terekhova,terekhova,NK,mid_block_L5+L6+L7,"5,6,7",1,1010,166,2304,0.184118,0.0175676,14.0762
loco_terekhova,terekhova,NK,late_block_L10+L11+L12,"10,11,12",1,1010,166,2304,0.203145,0.00866525,14.1956
